,texts
0,"Приоткрываем двери клуба Донов «Подслушано»! 
 
Внутри вас уже ждёт уютная атмосфера, возможность комментировать, бесплатный оригинальный стикерпак с Оленем (подробнее в записях для Донов) и приоритетное рассмотрение откровений. 
 
Поддержи «Подслушано», сделай себе приятно 😎"
1,"Встречались с девушкой полгода. Отношения были почти идеальные, уже думал, что встретил свою единственную. Вот только смущало, что о себе она говорила мало и упорно не хотела знакомить с родителями, даже в гости к себе не разу не пригласила, потому что они якобы строгие. Но я этому значения не придавал.
Решил перевести отношения на новый уровень и перевезти жить к себе. Она с радостью согласилась и вскользь упомянула, что надо бы освободить одну из комнат для её сына. Вот тут я опешил. Ни о каком ребенке я знать не знал. На вопрос, почему не сказала раньше, получил: ""А чо такова, меня полюбил и его полюбишь"". Оказалось, она всё это время скрывала мальчика у бабушки с дедушкой, поджидая удобный момент, и вот он настал. Расстались. Потом долго рассказывала общим друзьям и знакомым, какой я безответственный козлина."
2,"В меня со школы был влюблён парень. Ухаживал, делал подарки, заботился. Я только смеялась над ним, отвергала. Однажды он даже заплакал. В итоге своей настойчивостью добился меня. Встречались, были счастливы. Неделю назад он меня бросил, не смог простить тех унижений. Чувство собственного достоинства оказалось сильнее  любви. И я его понимаю. Я виновата сама. Мужчины не прощают уязвлённого самолюбия.

#Подслушано_провал@overhear"
3,"Муж подруги ведёт себя, будто с гор вчера спустился. Женщина для него — не человек, на этом основании он легко мог влезть в наш с подругой разговор, заткнуть меня в грубой форме. Я такого терпеть не стала, поэтому встречались мы с ней на нейтральной территории.
Когда их сыну исполнялось 7 лет, всё же пришла на праздник. Они обещали подарить ему собаку, но передумали и купили мобильник. Ребёнок устроил истерику: ""Обманули, жить не хочу"". Отец хватает его за грудки со словами: ""Раз жить не хочешь, то я тебя сейчас из окна выкину"", — и тащит. Сын рыдает: ""Папа, не надо"". Я подрываюсь, но родственники его меня останавливают, мол, это воспитание такое, не лезь. Подруга тоже молчит.
Этот придурок тряс ребёнка, перекинув через подоконник (7 этаж) и орал: ""Хочешь жить?!"" Когда это закончилось, я вылетела оттуда пулей. Была дикая истерика, хотелось вызвать полицию или органы опеки. Но не вызвала. С подругой после этого говорила только раз. ""Зато теперь сын будет ценить жизнь"", — сказала она.

#Подслушано_ебанько@overhear"
4,"Довела мужчину минетом до слёз. Счастья, естественно. Плакал после оргазма, как девчонка! Такими «достижениями» обычно не делятся, но так хочется похвастаться…

#Подслушано_пошлое@overhear"
5,"Я не пускаю дочь к «крестной» домой, с которой живёт мой бывший муж. А он в свою очередь настаивает, чтобы она там находилась и оставалась ночевать, ссылаясь на то, что дочь скучает по ней. Всё сводит к тому, что я плохая мать, а «крёстная» — хорошая и дочери будет с ней хорошо. Получается, я мешаю бывшему мужу и его счастью с новой мамой нашей дочери. Только вот что я по этому поводу думаю, никого из них походу не волнует.

#Подслушано_предательство@overhear"
6,"Живу с семьёй мужа уже 5 лет. И так получилось, что снятся мне эротические сны, с разными парнями, в том числе с братом мужа (молодой, красивый, что-то в нём есть). Когда мимо проходит брат без майки или в полотенце, начинаю его хотеть на яву, но понимаю, что это аморально. И как избавиться от таких желаний без измены — непонятно.

#Подслушано_похоть@overhear"
7,"Мне кажется, что с людьми, весящими свыше 120-130 кг, нужно обращаться как с людьми, пытавшимся покончить с собой, — положить в больницу, чтобы проходили обследование и работу с психологами. И потом стояли у врачей на учёте и ходили бы, пока не пришли в здоровую форму. И периодически отмечались у врача и психолога, что результат на месте и всё ок. Думаю, так бы счастливых и здоровых людей стало больше."
8,"Учусь и живу в одной общаге с девочкой, которая болеет эпилепсией. При этом ни ее родители, ни вообще кто-либо из родственников не знает о том, что ей хуже. Чтобы как-то покупать лекарства, она начала работать (повышается уровень стресса). А всю ответственность за своё состояние она свалила на соседок по комнате, одногруппников и тех, кто живёт в общаге. Свою болезнь она называет ""козырем"", обвиняет в своём состоянии других людей с логикой: ""Я умру по вашей вине"". Состояние всё ухудшается, приступы чаще, огромнейший стресс для посторонних людей, а до неё никак не доходит, что никто ей не сможет дать необходимый уход, как близкие. Сначала все жалели, теперь своим ""глупым"" поведением начала раздражать. Что делать, никто не знает. А раздражение растет."
9,"Есть у меня один друг, который жутко ненавидит свою работу. Когда у него спрашиваем, не хочет ли он её поменять, отвечает, что любую работу будет ненавидеть, так что смысла нет. И вот спустя 2 года, поменяв 3 работы, поняла, что он прав. Смысла менять работу нет, любую будешь ненавидеть.

#Подслушано_работа@overhear"
10,"Ездили на пруд в деревне, и я, будучи 8-летней девчонкой, плавала так себе, быстро уставала. На берегу остались мама с дедушкой, а я шла в воде по горло по дну достаточно близко к берегу и неожиданно ухнула в яму. Помню, как тёплая вода сменилась нестерпимо ледяной, как ноги обвивали холодные противные водоросли, панику. Додумалась спокойно опуститься на дно и, оттолкнувшись ногами, выплыть. Когда ухнула вниз, успела прокричать: ""Спас-те!"" — и всё...
Помню дикую мысль о том, что не может вот так быть. Когда я вышла из воды на негнущихся ногах и дрожа от ужаса, с обрывками водорослей на ногах по бёдра, взрослые всё так же сидели на берегу и думали, что я шучу. А ведь не приди мне там, на дне, шальная мысль о возможности спастись, никогда бы я больше не выплыла. До сих пор боюсь заходить в водоёмы.

#Подслушано_страшное@overhear"
11,"Брат коллеги, недавно женившись, через месяц развёлся по инициативе жены. Но так как ей некуда идти, она осталась жить с ним как соседка. И вот прошёл год, а они всё так же живут и не рассказывают своим родителям, что год как развелись, не спят вместе и живут, как чужие. Когда тёща к ним в гости приходит, дочь разыгрывает целый спектакль счастливой семейной пары. Перемещает вещи в одну комнату, но спит с мамой под предлогом, что соскучилась. Коллеге жалко брата, ведь он её любит до сих пор.

#Подслушано_странное@overhear"
12,"При условии, что я ответственный руководящий работник, в плане контрацепции я абсолютная бестолочь. На счету уже 2 аборта. Детей я не хочу, муж тоже. Но! Он очень серьёзно относится к абортам и никогда бы не позволил мне их делать, даже несмотря на своё нежелание иметь детей. Для меня же аборт по значимости примерно то же самое, что и удаление аппендицита. Мужа я люблю, ссориться не хотела, поэтому не говорила ему о прерываниях беременности (ну вот нереально убедить его в том, что это не убийство).
Удар пришёл, откуда не ждали: после второго аборта моя мама, которая, как близкий человек, была в курсе, рассказала обо всём мужу. Она надеялась, что он меня вразумит, чтобы я перестала быть «чудовищем» и уже «стала нормальной женщиной», ну то есть родила. И вот итог: грандиозный скандал, не знаю ещё, чем всё закончится, а мама-миротворец пытается сгладить углы, якобы ни при чем со своим «ну я же хотела как лучше».

#Подслушано_семья@overhear"
13,"Переезжали как-то с мамой на новую квартиру. Были у нас огромные и тяжёлые коробки. Пока дотащили до лифта - сто потов сошло. И вот долгожданный момент, загрузили мы самый тяжёлый короб в лифт. И тут бабулька, вижу, бежит. Но как-то странно бежит. И говорит: ""Девчонки, мне на 3"". Мы с мамой уже стоим злые, говорим, мол, нет, подождёте. Так она нам: ""Девчонки, я не могу, щас обосрусь!"" В итоге пропустили :) Каждого может припереть в ненужный момент :)"
14,"Есть люди, которых с самого детства унижали, пророчили судьбу уборщиков и шлюх, а они поднимались на огромные высоты. Мне же с раннего детства пророчили успех. Теперь бабушки охают, что ""сглазили девоньку"", но я-то знаю, что просто зазвездилась...

#Подслушано_провал@overhear"
15,"Как-то раз ночью услышала, как соседи за стенкой опять начали ругаться. Парень кричал на свою девушку, а она только и говорила: ""Я тебя люблю! У меня есть только ты..."" Продолжалось это пару минут. И тут он говорит: ""А почему тогда ты сквозь сон, когда я взял тебя за грудь, сказала МАРАТ?!"")))

#Подслушано_соседи@overhear"
16,"Расстался с девушкой после трёх лет отношений. Теперь просто трахаю её и никаких мозгоёбов. Жизнь — малина.

#Подслушано_пошлое@overhear"
17,"Выращивал я как-то растения из семян, делая горшки из бутылок колы. В очередной раз захотелось мне полить мои цветуёчки и, чтобы вода не скапливалась на дне, решил проделать в нём дырки… Ножницами… Держа ""горшок"" в руке… В итоге расхреначил большой палец почти до кости. Травмпункт не знаю где, а скорую я не решался вызвать минут 10 (списываю на шок и т.д.), прижимая к пальцу окровавленное полотенце, так как в голове вертелось: ""Как же я людей в дом позову? Дома-то неубрано"". Идиот."
18,"Когда меня спрашивают, почему я так сильно люблю море, я просто рассказываю историю о том, как моя мама за пару дней до родов сбежала из больницы к морю, чтобы поплавать и поваляться на песке. Эта история и мою ебанутость объясняет)"
19,"Приехал на дачу трудиться, снял обручальное кольцо, положил в свою барсетку. На следующий день вспомнил про кольцо по пути на работу. Сунул руку в барсетку — нет кольца! Массу ужасных эмоций я тогда испытал. По приезде домой всё перерыл в его поисках. И только перед сном, решив проанализировать свои действия, подумал, что кольцо могло выпасть из сумки в коробку, на которую я небрежно швырнул её, вернувшись с дачи. Господи! Да я так никогда не радовался своей находке))

#Подслушано_успех@overhear"
20,"Я развожусь. Копила 2 года на машину, муж об этом знал (у него машина есть, ездит сам, редко езжу я). Когда все деньги были собраны, он обмолвился, что собирается искать покупателей для своей машины. Оказывается, он придумал гениальный план: купить хорошую и дорогую, но общую машину. Само собой, ездить хотел сам, а меня ""возил бы, если нужно"". На мой отказ отреагировал дикой обидой. Не прогнул. Подговорил свою мамашу есть мои мозги. Безрезультатно. Подал на развод. Люблю его, но не уступлю.

#Подслушано_семья@overhear"
21,"Сижу я как-то на лавочке во дворе, человека жду. Наблюдаю за людьми. Смотрю, паренёк идет с собакой. Она свои дела сделала, а он подобрал и в салфетку завернул. Думаю, молодец какой. Так он дальше пошёл, дошёл до подъезда и закинул её под лестницу. Вроде смешно от абсурдности ситуации, а вроде и грустно.

#Подслушано_наблюдения@overhear"
22,"У меня есть тётя, и она всю жизнь пиздит. Всегда и везде, по любому поводу. Даже там, где, казалось бы, врать и не нужно, не имеет смысла, но она всё равно набздит в три короба, хотя правда вовсе не порочная. Её ложь звучит нелепо, и она сама понимает, что ей давно никто не верит. Видимо, дело какого-то её ебанутого принципа.

#Подслушано_странное@overhear"
23,"Моя жена достаточно плохо стала выглядеть после родов. До брака я её не считал симпатичной, но внутренняя сторона взяла своё. Был частый секс, мы начали встречаться, жить вместе. Но это всё не из-за классного секса — был и получше. Всё из-за того, что она действительно очень хороший человек, надёжный партнёр по жизни, да и вообще с мозгами. Благо, был достаточный опыт понять и сделать выбор. 
Нашему ребёнку чуть больше года, а она так и не пытается лучше выглядеть. Очень сильно хочу трахаться. Хочу извращений и блядства в постели. С женой. Но как ни крути, есть люди, которые не хотят меняться, а именно поэтому ты и не можешь их изменить, как бы ни хотел этого. И встает вопрос, что делать: дрочить под порно и фантазировать, что я и делаю на протяжении двух лет; либо разводиться, хотя ничто не предрекает разлада и есть общий ребенок; либо пытаться заглушить свои чувства и совсем сбрендить?..

#Подслушано_пошлое@overhear"
24,"В детстве уговорила папу дать мне покататься на лошадке в парке. Была в красивом платье, думаю, представлю себя принцессой. Мои иллюзии продлились ровно 30 секунд, пока владелец случайно не отпустил моего скакуна, и тот, чего-то испугавшись, пустился нарезать круги с вцепившейся в него от страха горе-наездницей. Когда меня наконец-то вернули поседевшему отцу, поняла, что королевской особой мне не быть...

#Подслушано_детство@overhear"
25,"Ушла коллега в отпуск на 21 день, работаю за неё. Работала и думала: ""Вот везёт же, целых 21 день! Как хорошо!"" А вчера сломала ногу, теперь тоже буду отдыхать 21 день. Только на больничном. Успех — он такой.

#Подслушано_успех@overhear"
26,"Перестала давать какую-либо оценку чужим отношениям после очередных девичьих посиделок. Одна подруга разорвала нездоровые отношения (10 месяцев психотерапии), но продолжила спать с бывшим и ревновать его к каждому столбу. Другая переехала к парню, но они «не встречаются». Третьей повезло влюбиться взаимно, но замуж вышла за другого. А я что? Ввязалась в свободные отношения: теперь стираю трусы своего парня, чтобы он в чистых и свежих пошёл на очередное свидание. Чужая жизнь — потёмки.

#Подслушано_странное@overhear"
27,"Мы поругались, я попросила отвезти домой. Сказал, что раз так хочу домой, то как-нибудь доберусь, высадил и уехал. Добралась. Неделю дозванивалась, чтобы забрать вещи, — сливался. Ездила к нему — нет дома. Потом приехал в час ночи, сказал выходить. Вышла, спросил, есть ли что сказать, ответила, мол, нет. Он сел в машину и уехал, а позади места, где стояла машина я увидела в кучу сваленные свои вещи. Все. Трусы, кофты, лифчики, мой любимый кактус, который он вытряхнул, вперемешку с едой, которую я готовила нам. Ненавижу.

#Подслушано_ненависть@overhear"
28,"Соседка у меня купила детский диван, как бы в рассрочку. Отдала из всей суммы тысячу рублей. Через два месяца, когда я ей напомнила, что не плохо бы деньги отдавать, она потребовала тыщу назад, ведь ей нужны деньги, и забирай, мол, диван, так как они с мужем сейчас не работают и им нужны деньги. Ну не дебил ли человек?.."
29,"Я повар. Работаю в ресторане. И жена решила, что я обязан готовить дома каждый день. Даже если у меня смена с 10:00 до 23:00, то она требовала вставать пораньше и готовить ей завтрак, обед и ужин, чтобы ей не напрягаться в течение дня. Работать она отказывалась, мотивируя, что она и так делает домашние дела и устает. Могла позвонить и устроить скандал, потому что она уже всё съела в 17:00, а я, гад, приготовил ей так мало. Бросила меня, сказав, что я её не ценю и морю голодом. Надо менять профессию.

#Подслушано_семья@overhear"
30,"У меня хорошая жизнь, но мне всю жизнь снятся кошмары. Причём не монстры и прочее «фэнтези», а наоборот очень реалистичные сны, в которых мне изменяет муж, умирают близкие, насилует маньяк. Я часто просыпаюсь в слезах. Один сон может сниться на протяжении всей ночи, даже если я среди ночи просыпалась. Недавно обнаружили язву. Ещё и анализ крови показал высокий сахар. Эндокринолог сказал, что в моём конкретном случае это, скорее всего, связано с постоянным стрессом. Моя психика медленно убивает мой организм.

#Подслушано_сны@overhear"
31,"Встречалась с женатым. Не хотела рушить его семью, только секс. Отношения были прекрасные, вместе ездили в отпуск, проводили выходные. Говорил, что к жене охладел, а потом она забеременела. Я была в шоке, по его словам, у них ничего не было. Хотела расстаться, но не смогла. После этого случая встречались ещё год, а вчера узнала, что у него есть любовница. Планирую всё рассказать его жене. И про нас с этим кобелем, и про ту — другую.

#Подслушано_предательство@overhear"
32,"Живу в довольно старом доме, стены у меня без обоев, просто покрашены краской. И я ем стены в своей квартире. Это началось очень давно, ещё в детстве. Просто ковыряю их и ем этот песок. Больше всего интересно, как это влияет на мой организм, сильно ли вредит здоровью. Но я никак не могу избавиться от этой привычки.

#Подслушано_странное@overhear"
33,"До 5 лет жила с бабушкой в деревне, и каждое раннее утро она ходила к соседке, у которой была корова, покупать только что надоенное молоко, которое я ненавидела. Бабушка не выпускала меня на улицу, пока я не выпью большой стакан. А оно ужасно воняло и было мерзким на вкус. Когда я ныла, что оно мне не лезет и воняет, бабушка говорила: ""Зажми нос и пей"". В один прекрасный день я просто блеванула этим молоком на стол. Зато больше насильно ничего пить и есть она не заставляла.

#Подслушано_детство@overhear"
34,"Жена в моменты ссор в качестве контрольного выстрела в голову часто использует запрещённый приём: напоминает о моих «блядях».
Ну да, жену я знаю 6 лет, и да, за этот период у меня было очень много других девушек. Только вот случались эти романы и разовые перепихи ТОЛЬКО в те периоды, когда мы с женой разбегались. Мы оба импульсивные, это сейчас уж попустило, учимся как-то диалог вести, нашли себе даже психолуха, как в кино. А раньше вообще башня отъезжала, ссорились, как в последний раз, и разбегались несколько раз на пару-тройку месяцев. Жену же до сих пор бомбит.
Вроде сама понимает, что предъявить нечего, расставались же. А с другой стороны: «Вот я тебя любила и даже близко к себе никого не могла подпустить, а ты по бабам сразу шёл». А я шёл-то тупо, чтобы клин клином выбить, я так-то капец переживал в моменты расставаний. На самом деле, я понимаю, что всё наладится у нас. Вот такие мы ебанько, но в моменте такие выпады бесят нереально.

#Подслушано_семья@overhear"
35,"Сажусь в маршрутку, к окну. Около меня садится бородатый такой мужик. Едем, он бубнит там себе что-то под нос. Моя остановка, поворачиваюсь к нему, спрашиваю: ""Вы на этой выходите?"" Он медленно встаёт, разводит руками и говорит: ""А хули ты хотел?"" — и вываливается из маршрутки. 
Я так подумал, а это ведь реально ответ на любой вопрос: ""Почему безработица?"", ""Почему посуду не помыл?"", ""Почему кот насрал?""  Действительно: ""А хули ты хотел?"" Прекрасная жизненная позиция."
36,"Я на четвёртом месяце беременности. Курю по пачке в день, раньше курила две. Я боюсь за ребёнка, он запланированный. Всё время в страхе. Заставляю себя бросить, но утром от первого же стресса снова начинаю курить. Вся семья орёт на меня, я сама не рада уже ничему. У всех знакомых получается бросить сразу, как узнают о беременности, а я сама себе главный враг и эгоистка.

#Подслушано_провал@overhear"
37,"Уже и замужем была, и развелась, и ещё раз вышла, но самым кайфовым был случайный секс с парнем в парке, а потом продолжение в гостинице до утра…

#Подслушано_пошлое@overhear"
38,"Приехала в Москву 5 лет назад, через пару месяцев перевезла сына (пошёл в первый класс) и тётю в помощь. Работала и подрабатывала, оплачивала всё, что нужно. Через 2 года вышла замуж за москвича. Как только переехали в его квартиру (оформлена на свекровь), начался ад. Была уже беременна. Часто слышала: ""Проваливай. Пиздуй"", — и прочее, но родила, и страсти поутихли. Я старалась подрабатывать удалённо. Когда младшему исполнился год, я стала работать на дому парикмахером.
Сейчас младшему 2, у меня свой бизнес, взяли в ипотеку свою квартиру, которую я оплачиваю в большей степени, содержу себя и детей, так как у мужа вечные проблемы с работой и заработок весьма скромный. Функция мужа — покупка продуктов, но и с ней он не справляется. Вечные претензии ко мне, что я недостаточно хозяйственна, плохо убираю, плохая жена. Работаю практически без выходных при этом.
Возвращаюсь недавно домой, а младшего сына без моего согласия и ведома со всеми вещами (купленными на мои деньги) муж увёз к свекрам. Когда я приехала за ним, мне не открыли дверь, пришлось вызывать участковых. За эти 2 часа чего я только о себе не услышала. Основная претензия в том, что я работаю, притом что надо содержать себя и детей.
В общем, еле забрала ребёнка. Обещают завалить жалобами налоговые, органы опеки, грозились продать квартиру, что в ипотеке (она с участием маткапитала). А я в ахуе. Можно ругаться, разводиться, ненавидеть, но похищать ребёнка?! Собираю все силы, связи и деньги. Теперь я вас, суки, уничтожу. Москвичи, элита, блять.

#Подслушано_семья@overhear"
39,"Переехала в Москву из небольшого городка в ЮФО, жильё снимаю. Сейчас ищу новую квартиру, общаюсь с собственниками, и одна вскольз упомянула, что они эту квартиру получили при советской власти. И таких в Москве у их семьи не одна. И меня ТАК зависть взяла!
Мне, чтобы иметь даже однушку в этом городе, нужно копить лет 5 на первый взнос, а потом брать ипотеку на 30 лет. А им квартиру дали! Моя мама тоже так получила квартиру, работала ради неё на заводе несколько лет. Только квартира эта в нашем маленьком городе, где, собственно, и сам завод, и стоит в четыре раза меньше. Вот так работали одинаково, а итог какой разный. 
Но потом я вспоминаю, что кто-то работал ради квартиры, например, в Воркуте, или работал, но не дождался своей очереди, СССР развалился, и меня чуток отпускает.

#Подслушано_зависть@overhear"
40,"Хуже женщины-истерички может быть только мужик-истеричка. Был у меня такой. Поначалу всё было хорошо. Потом же при малейшей ссоре летела еда, посуда, мелкая мебель. Когда делала попытки с ним расстаться, обещал выпить антифриза, покончить с собой. Но эпиком было то, что после нашего расставания он устроился на работу в то же здание, где работаю и я! Ох и нанервничалась я тогда. Пальцем не тронул, но как-то раз написал смску с допросом, кто же меня провожал...

#Подслушано_ебанько@overhear"
